Pacific Coast Amendments Ltd.,,,,,,,
2240 Commissioner St | Vancouver BC V5L 1A4 | quotes@pacificcoast-amendments.ca,,,,,,,
GST/HST: 81472 9038 RT0001,,,,,,,
,,,,,,,
Quote No.,PCA-26-1183,,,,,,
Quote Date,2026-04-25,,,,,,
Customer,Northstar Manufacturing (Reno NV),,,,,,
RFQ Ref,NSM-RFQ-0421,,,,,,
Valid Until,2026-05-25,,,,,,
Payment Terms,Net 30 from invoice date,,,,,,
Incoterms,DAP Reno NV (USA),,,,,,
Lead Time,14-21 days ex Vancouver,,,,,,
,,,,,,,
Line,SKU,Description,Qty,UoM,Unit Price,Currency,Line Total
1,KMEAL-50,"Kelp Meal, Norwegian sourced, 50 lb bag",40,BAG,68.50,CAD,2740.00
2,BMEAL-50,"Bone Meal, steamed, 50 lb bag",60,BAG,42.25,CAD,2535.00
3,GYP-AG-2000,"Agricultural Gypsum, fine grade, 2000 lb supersack",8,BAG,184.00,CAD,1472.00
4,PERL-4CF,"Perlite, horticultural grade #3, 4 cu ft bag",120,BAG,18.75,CAD,2250.00
5,MYCO-WP-25,"Mycorrhizal Inoculant, wettable powder, 25 lb pail",4,PAIL,412.00,USD,1648.00
6,PEAT-BALE-3.8,"Sphagnum Peat Moss, compressed bale, 3.8 cu ft",80,BALE,24.50,CAD,1960.00
7,PALLET-48-HT,"Heat Treated Pallet, 48x40, ISPM-15 stamped",12,EA,28.00,USD,336.00
8,STRAP-PP-58,"Polypropylene Strapping, 5/8"" x 9000 ft, machine grade",2,ROLL,142.00,CAD,284.00
,,,,,,,
,,,,,Subtotal CAD,CAD,11241.00
,,,,,Subtotal USD,USD,1984.00
,,,,,Estimated USD Total at 0.7320 CAD/USD,USD,10212.41
,,,,,,,
Notes:,,,,,,,
,Lines 5 and 7 quoted in USD per supplier price list - imported items billed in source currency.,,,,,,
,FX conversion estimate provided as reference only. Final invoice issued in CAD; customer responsible for currency conversion at payment date.,,,,,,
,Mycorrhizal inoculant (Line 5) ships separately from Portland OR distribution center.,,,,,,
,Crossing fees and US customs brokerage not included.,,,,,,
